ï»¿id,income,health_cover,house,wc,phone,car,consumption
1004897,3,1,1,0,1,1,0
1004904,4,1,1,1,1,0,0
1004919,4,1,1,0,1,1,0
1004928,5,1,1,0,1,1,0
1004937,3,0,0,0,0,0,0
1004943,6,1,0,1,1,1,1
1004955,6,1,1,1,1,1,0
1004962,4,1,1,1,1,0,0
1004970,4,1,1,0,1,1,0
1004981,5,0,0,1,1,0,0
1004996,6,1,0,1,1,0,0
1005000,2,0,0,0,1,0,0
1005017,3,1,0,0,1,0,0
1005021,3,1,0,0,1,1,0
1005039,5,1,1,1,1,1,0
1005042,5,1,0,1,1,0,0
1005056,3,1,1,0,0,0,1
1005063,4,0,1,1,0,0,0
1005074,4,1,0,0,1,0,0
1005088,4,1,1,1,1,1,0
1005095,5,1,1,1,1,0,1
1005109,3,0,0,0,0,1,0
1005111,3,1,1,1,1,1,0
1005127,1,1,0,1,1,1,0
1005130,5,1,1,0,1,0,0
1005148,3,1,0,0,0,1,0
1005153,4,0,1,0,1,1,0
1005166,2,0,1,0,0,0,0
1005175,4,0,1,0,1,1,0
1005182,3,1,1,1,1,1,0
1005194,6,1,1,1,1,0,0
1005203,1,1,0,0,1,1,0
1005215,1,1,0,0,1,1,0
1005226,5,1,1,1,1,1,0
1005232,5,1,0,1,1,1,1
1005244,5,1,1,0,1,1,0
1005259,4,0,1,1,1,1,0
1005267,4,0,0,0,1,1,0
1005271,6,1,1,1,1,1,0
1005280,5,1,1,0,1,1,0
1005298,5,1,0,1,1,0,0
1005306,4,1,0,1,0,1,0
1005314,1,1,0,0,0,0,0
1005323,6,1,0,0,1,0,0
1005338,6,1,1,0,1,1,0
1005345,5,1,0,0,1,1,0
1005350,6,1,0,1,1,0,0
1005361,6,1,0,0,1,1,0
1005377,3,0,0,0,1,0,0
1005389,2,0,0,0,1,1,0
1005392,6,1,0,1,1,0,0
1005404,5,1,1,0,1,1,0
1005419,5,1,0,0,1,1,0
1005428,4,1,0,1,1,0,0
1005437,4,1,0,1,1,0,0
1005443,3,1,1,0,1,0,1
1005455,6,1,0,1,1,0,0
1005462,3,1,0,0,1,0,0
1005470,4,1,1,0,1,1,0
1005481,4,0,0,1,1,0,0
1005496,4,1,0,1,1,0,0
1005501,4,1,1,1,1,1,0
1005512,3,0,0,1,1,0,1
1005520,5,1,1,1,1,0,0
1005535,5,1,1,1,1,0,1
1005547,5,1,0,1,1,0,0
1005558,4,1,1,0,1,0,0
1005564,5,1,1,1,1,1,0
1005573,6,0,1,1,1,1,0
1005586,4,1,0,1,1,0,0
1005599,5,1,0,0,1,0,0
1005607,6,1,0,1,1,0,1
1005618,5,1,1,1,1,0,1
1005634,4,1,0,0,1,0,0
1005641,4,1,0,1,1,0,0
1005652,4,1,0,0,1,1,0
1005665,6,1,0,1,1,1,1
1005676,5,1,1,0,1,1,0
1005683,4,1,1,1,1,1,0
1005690,4,1,0,1,1,0,0
1005708,3,1,0,0,1,0,0
1005713,4,0,0,1,1,1,1
1005724,5,1,0,1,1,1,0
1005736,4,1,0,1,1,1,1
1005749,5,0,0,1,1,0,0
1005751,5,0,1,1,1,1,0
1005760,6,1,1,1,1,1,1
1005772,6,1,0,1,1,0,1
1005785,6,1,1,1,1,1,0
1005797,3,1,0,0,1,0,0
1005805,4,1,0,1,1,1,0
1005810,4,1,1,0,1,1,0
1005822,4,0,0,0,0,0,0
1005831,2,1,0,0,0,0,0
1005846,5,1,0,1,1,0,0
1005854,4,0,0,0,1,0,0
1005868,4,0,1,0,1,1,0
1005879,5,1,1,1,1,1,0
1005887,6,1,0,1,1,0,0
1005893,4,1,0,0,1,1,0
1005902,4,1,0,0,1,0,0
1005916,3,0,0,1,1,0,0
1005925,5,1,1,0,1,1,0
1005933,6,1,1,1,1,1,0
1005940,4,1,0,0,1,0,0
1005957,6,1,1,1,1,1,0
1005969,5,1,1,1,1,1,0
1005978,4,1,0,0,1,1,0
1005984,6,1,1,1,1,0,0
1005991,5,1,1,1,1,1,0
1006008,6,1,1,1,1,1,0
1006013,6,0,0,1,1,0,1
1006024,5,1,1,0,1,1,1
1006036,4,1,1,0,1,1,0
1006049,6,1,0,1,1,0,0
1006051,5,1,0,0,1,0,1
1006060,3,0,0,0,1,0,0
1006072,2,0,0,0,1,0,0
1006085,3,1,1,1,0,0,0
1006097,3,1,1,1,1,0,1
1006106,6,1,0,1,1,0,0
1006114,2,1,1,1,0,0,0
1006123,5,0,1,1,1,0,0
1006138,4,1,0,1,1,1,0
1006145,3,1,0,0,1,0,0
1006150,5,1,1,1,1,1,0
1006161,4,1,1,0,1,1,0
1006177,6,1,1,1,1,1,0
1006189,4,0,1,0,1,1,0
1006192,4,0,1,1,1,1,0
1006200,4,1,0,0,1,1,0
1006217,6,1,0,1,1,1,0
1006221,1,1,0,0,0,0,0
1006239,6,1,1,1,1,1,1
1006242,5,1,0,1,1,0,1
1006256,4,1,0,0,1,0,0
1006263,4,1,0,0,1,1,0
1006274,4,1,1,1,1,1,0
1006288,3,1,0,0,0,0,0
1006295,6,1,0,1,1,0,0
1006301,5,1,1,1,1,1,0
1006312,5,1,1,1,1,1,0
1006320,5,1,0,0,0,1,0
1006335,3,1,0,0,1,0,0
1006347,5,1,1,0,1,1,0
1006358,5,1,1,1,1,1,0
1006364,5,1,0,0,1,1,0
1006373,6,1,1,1,1,1,1
1006386,6,1,0,1,1,0,1
1006399,5,1,1,1,1,1,0
1006402,6,1,0,0,1,1,1
1006416,5,1,0,1,1,1,0
1006425,5,1,1,1,1,1,0
1006433,1,1,0,0,0,0,0
1006440,3,1,0,0,1,1,0
1006457,3,0,0,0,1,1,0
1006469,5,1,1,1,1,0,0
1006478,3,1,0,0,1,1,0
1006484,4,1,1,1,1,0,0
1006491,6,1,1,1,1,1,0
1006504,6,1,1,1,1,1,0
1006519,2,0,0,0,0,0,0
1006528,2,1,0,0,1,0,0
1006537,4,1,1,0,1,1,0
1006543,4,1,1,1,1,1,1
1006555,4,1,0,0,1,0,0
1006562,6,1,0,1,1,1,0
1006570,6,0,0,1,1,0,1
1006581,5,1,0,0,1,0,0
1006596,3,1,0,0,1,0,1
1006603,4,1,1,1,1,1,0
1006615,5,1,1,1,1,1,0
1006626,3,1,0,0,0,0,0
1006632,3,1,1,0,1,1,0
1006644,2,1,1,0,1,0,0
1006659,4,0,0,0,1,1,0
1006667,6,1,1,0,1,1,0
1006671,3,1,0,0,1,1,0
1006680,5,1,0,1,1,1,0
1006698,3,1,0,0,0,0,0
1006705,5,1,0,1,1,0,0
1006710,5,1,1,0,1,0,0
1006722,5,1,0,1,1,0,1
1006731,4,1,1,1,1,1,0
1006746,4,1,0,0,1,1,0
1006754,3,1,0,0,0,0,0
1006768,6,1,0,0,1,0,0
1006779,3,1,0,0,0,0,0
1006787,5,1,1,0,1,1,0
1006793,6,1,1,1,1,0,0
1006807,4,0,0,1,1,0,0
1006818,5,1,0,1,1,0,0
1006829,4,1,0,1,1,0,1
1006834,5,1,0,0,1,1,0
1006841,4,1,1,1,1,0,1
1006852,5,1,0,1,1,1,1
